"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","[M]-","[SO3]-","[M-C4F9]-"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C5HF11O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)(F);[M-H]-","348.93980001","349.947625312","79.95736486","130.961996065"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-","398.93660645","399.944431752","79.95736486","180.958802505"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C7HF15O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","448.93341289","449.941238192","79.95736486","230.955608945"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","498.93021933","499.938044632","79.95736486","280.952415385"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C9HF19O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","548.92702577","549.934851072","79.95736486","330.949221825"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","598.92383221","599.931657512","79.95736486","380.946028265"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C11HF23O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","648.92063865","649.928463952","79.95736486","430.942834705"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C12HF25O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","698.91744509","699.925270392","79.95736486","480.939641145"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C13HF27O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","748.91425153","749.922076832","79.95736486","530.936447585"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C14HF29O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","798.91105797","799.918883272","79.95736486","580.933254025"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C15HF31O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","848.90786441","849.915689712","79.95736486","630.930060465"
"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C16HF33O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","898.90467085","899.912496152","79.95736486","680.926866905"
