PFSA-perfluoroalkyl-standards-Multiple_Y,[M-H]-,[M]-,[SO3]-,[SO3F]-,[SO2F]-,[C3F7]-,[C2F5]-,[COF3]-
PFSA-perfluoroalkyl-standards-Multiple_Y;CHF3O3S;O=S([OH])(=O)C(F)(F)(F);[M-H]-,148.9525743,149.9603996,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C2HF5O3S;O=S([OH])(=O)C(F)(F)C(F)(F)(F);[M-H]-,198.9493807,199.957206,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C3HF7O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,248.9461871,249.9540124,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C4HF9O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,298.9429936,299.9508189,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C5HF11O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,348.9398,349.9476253,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,398.9366065,399.9444318,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C7HF15O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,448.9334129,449.9412382,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,498.9302193,499.9380446,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C9HF19O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,548.9270258,549.9348511,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
PFSA-perfluoroalkyl-standards-Multiple_Y;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-,598.9238322,599.9316575,79.95736486,98.95576808,82.96085346,168.9893725,118.9925661,84.99067428
