PFCA-perfluoroalkyl-standards-Multiple_Y,[M-H]-,[M-CO2H]-,[C2F5]-,[C3F7]-,[C4F9]-,[C5F11]-,[C6F13]-
PFCA-perfluoroalkyl-standards-Multiple_Y;C7HF13O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,362.9696211,318.9797919,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,412.9664276,368.9765983,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,462.963234,418.9734047,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,512.9600404,468.9702112,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C11HF21O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,562.9568469,518.9670176,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C12HF23O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,612.9536533,568.9638241,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C13HF25O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,662.9504598,618.9606305,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C14HF27O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,712.9472662,668.9574369,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C15HF29O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,762.9440726,718.9542434,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C16HF31O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,812.9408791,768.9510498,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C17HF33O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,862.9376855,818.9478563,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C18HF35O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,912.934492,868.9446627,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C19HF37O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,962.9312984,918.9414691,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C20HF39O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,1012.928105,968.9382756,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
PFCA-perfluoroalkyl-standards-Multiple_Y;C21HF41O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-,1062.924911,1018.935082,118.9925661,168.9893725,218.986179,268.9829854,318.9797919
