CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
1_FT-OH_neg_minH.csv,2;3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-OH-standards-Multiple_N
2_FT-PFCA_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-PFCA-standards-Multiple_Y
3_FT-PFSA_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-PFSA-standards-Multiple_Y
4_FT-sulfone_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-sulfone-literature-Multiple_N  CHECKED With Sara - changed rules
5_FT-sulfonic_acid_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-sulfonic_acid-literature-Multiple_N
6_FT-sulfonic_acid_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-sulfonic_acid-literature-Multiple_N
7_FT-sulfoxide_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-sulfoxide-literature-Multiple_N
8_FT-thioether_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-thioether-literature-Multiple_N
9_FT-thioether_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-thioether-literature-Multiple_N
10_FT-thioether_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,FT-thioether-literature-Multiple_N
1_OPFC-perfluoroalkyl_sulfate_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,OPFC-perfluoroalkyl_sulfate-literature-Multiple_N
2_PFAP-diPAP_neg_minH.csv,2;3,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFAP-diPAP-standards-Multiple_N
3_PFAP-FT_diPAP_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFAP-FT_diPAP-standards-Multiple_Y
4_PFAP-FT_PAP_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFAP-FT_PAP-standards-Multiple_Y
5_PFAP-N_PFOSE_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFAP-N_PFOSE-standards-Multiple_N
6_PFAP-N_PFSE_disubstituted_neg_minH.csv,5,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFAP-N_PFSE_disubstituted-standards-Multiple_N
7_PFAP-PAP_neg_minH.csv,2;3,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFAP-PAP-standards-Multiple_N
1_PFCA-Cl-substituted_neg_minH.csv,4;5,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-Cl-substituted-literature-Multiple_N
2_PFCA-diether_Hsubstituted_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-diether_Hsubstituted-standards-Multiple_N
3_PFCA-ether_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-ether-literature-Multiple_N
5_PFCA-H-substituted_ether_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-H-substituted_ether-literature-Multiple_N
7_PFCA-H-substituted_unsaturated_ether_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-H-substituted_unsaturated_ether-literature-Multiple_N
8_PFCA-H-substituted_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-H-substituted-literature-Multiple_N
9_PFCA-H-substituted_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-H-substituted-literature-Multiple_N
10_PFCA-pentafluorosulfide_neg_minH.csv,3,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-pentafluorosulfide-literature-Multiple_Y
11_PFCA-perfluoroalkyl_branched_neg_minH.csv,5,3;4,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-perfluoroalkyl_branched-standards-Multiple_Y
13_PFCA-perfluoroalkyl_Hsubstituted_1DB_neg_minH.csv,3,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-perfluoroalkyl_Hsubstituted_1DB-standards-Multiple_Y
14_PFCA-perfluoroalkyl_neg_minH.csv,5,3;4,TRUE,TRUE,FALSE,Neg,[M-H]-,PFCA-perfluoroalkyl-standards-Multiple_Y   CHECKED With Sara - changed rules
14_short_PFCA-perfluoroalkyl_neg_minH.csv,3,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-perfluoroalkyl-standards-Multiple_Y   CHECKED With Sara - changed rules
15_PFCA-unsaturated_ether_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-unsaturated_ether-literature-Multiple_N
16_PFCA-unsaturated_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-unsaturated-literature-Multiple_N
17_PFCA-unsaturated_neg_minH.csv,3;4,5;6;7;8,FALSE,FALSE,FALSE,Neg,[M-H]-,PFCA-unsaturated-literature-Multiple_Y
1_PFOH-perfluoroalkyl_alcohol_neg_minH.csv,3,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFOH-perfluoroalkyl_alcohol-literature-Multiple_Y
2_PFOH-unsaturated_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFOH-unsaturated-literature-Multiple_Y
1_PFSA-carbonyl_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-carbonyl-literature-Multiple_N
2_PFSA-Cl-substituted_ether_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-Cl-substituted_ether-literature-Multiple_Y
4_PFSA-Cl-substituted_neg_minH.csv,4;5,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-Cl-substituted-literature-Multiple_Y
5_PFSA-Cl-substituted_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-Clsubstituted-standards-Multiple_N
6_PFSA-cyclic_VariableBranch_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-cyclic_VariableBranch-standards-Multiple_N
7_PFSA-ether_neg_minH.csv,3;4,5;6,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-ether-literature-Multiple_N
8_PFSA-H-substituted_unsaturated_ether_neg_minH.csv,3;4,5;6;7;8,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-H-substituted_unsaturated_ether-literature-Multiple_N
9_PFSA-H-substituted_unsaturated_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-H-substituted_unsaturated-literature-Multiple_N
10_PFSA-H-substituted_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-H-substituted-literature-Multiple_N
11_PFSA-pentafluorosulfide_neg_minH.csv,3;8,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-pentafluorosulfide-literature-Multiple_N  CHECKED With Sara - changed rules
12_PFSA-perfluoroalkyl_branched_C3_neg_minH.csv,3;4,,TRUE,TRUE,FALSE,Neg,[M-H]-,PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N
13_PFSA-perfluoroalkyl_neg_minH.csv,4;5,,TRUE,TRUE,FALSE,Neg,[M-H]-,PFSA-perfluoroalkyl-standards-Multiple_Y  CHECKED With Sara - changed rules
14_PFSA-unsaturated_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSA-unsaturated-literature-Multiple_N
1_PFSM-alcohol_neg_minH.csv,3;4,5;6;7;8;9,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-alcohol-literature-Multiple_N
2_PFSM-amine_neg_minH.csv,5;6,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-amine-literature-Multiple_N
3_PFSM-amine_neg_minH.csv,2;3,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-amine-standards-Multiple_N
4_PFSM-ammonio_N_CMAmP_FT_FOSA_neg_minH.csv,2;3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio_N_CMAmP_FT_FOSA-standards-Multiple_N
5_PFSM-ammonio_neg_minH.csv,3;4,5;6;7;8,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
6_PFSM-ammonio_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
7_PFSM-ammonio_neg_minH.csv,3;4,5;6;7;8;9;10,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
8_PFSM-ammonio_neg_minH.csv,3;4,5;6;7;8;9,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
9_PFSM-ammonio_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
10_PFSM-ammonio_neg_minH.csv,3;4,5;6;7;8;9,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
11_PFSM-ammonio_neg_minH.csv,3;4,5;6;7;8;9,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
12_PFSM-ammonio_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-ammonio-literature-Multiple_N
13_PFSM-carboxylic_acid_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-carboxylic_acid-literature-Multiple_N
14_PFSM-carboxylic_acid_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-carboxylic_acid-literature-Multiple_N
15_PFSM-FSAA_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-FSAA-standards-Multiple_N
16_PFSM-N_EtFSAA_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-N_EtFSAA-standards-Multiple_N
17_PFSM-N_MeFSAA_neg_minH.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-N_MeFSAA-standards-Multiple_N
18_PFSM-perfluoroalkyl_sulfonamide_Et_neg_minH.csv,3;4,5;6,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-perfluoroalkyl_sulfonamide_Et-standards-Multiple_N
19_PFSM-perfluoroalkyl_sulfonamide_Me_neg_minH.csv,2;3,4;5,FALSE,FALSE,FALSE,Neg,[M-H]-,PFSM-perfluoroalkyl_sulfonamide_Me-standards-Multiple_N
