"DTXSID50561292;1,1,2,2-Tetrafluoroethan-1-ol;130953-44-5;KGUDSELBPWEAKU-UHFFFAOYSA-N;C2H2F4O;OC(F)(F)C(F)F;[M-H]-",116.9969023
"DTXSID80504814;2,2,3,3-Tetrafluoropropan-1-amine;663-69-4;ZHCINVLBWAIBRN-UHFFFAOYSA-N;C3H5F4N;NCC(F)(F)C(F)F;[M-H]-",130.0285368
"DTXSID30509091;1,1,2,2-Tetrafluoropropan-1-ol;28106-65-2;CSUFEOXMCRPQBB-UHFFFAOYSA-N;C3H4F4O;CC(F)(F)C(O)(F)F;[M-H]-",131.0125524
"DTXSID8058796;2,2,3,3-Tetrafluoro-1-propanol;76-37-9;NBUKAOOFKZFCGD-UHFFFAOYSA-N;C3H4F4O;OCC(F)(F)C(F)F;[M-H]-",131.0125524
"DTXSID60380214;2,2,3,3-TETRAFLUOROCYCLOBUTANOL;374-32-3;FNENUTDUAXPVTF-UHFFFAOYSA-N;C4H4F4O;OC1CC(F)(F)C1(F)F;[M-H]-",143.0125524
"DTXSID60380239;2,2,3,3-Tetrafluoropropionamide;2069-86-5;WJNHHTXAWAPICM-UHFFFAOYSA-N;C3H3F4NO;NC(=O)C(F)(F)C(F)F;[M-H]-",144.0078014
"DTXSID70380240;2,3,3,3-tetrafluoropropanamide;1647-57-0;LBYKCQDGXLJODK-UHFFFAOYSA-N;C3H3F4NO;NC(=O)C(F)C(F)(F)F;[M-H]-",144.0078014
"DTXSID40382170;2,3,3,3-tetrafluoropropanoic Acid;359-49-9;GPKYZQLMEPJAGJ-UHFFFAOYSA-N;C3H2F4O2;OC(=O)C(F)C(F)(F)F;[M-H]-",144.991817
DTXSID7058177;Flupropanate;756-09-2;PXRROZVNOOEPPZ-UHFFFAOYSA-N;C3H2F4O2;OC(=O)C(F)(F)C(F)F;[M-H]-,144.991817
"DTXSID00880228;3,3,4,4-Tetrafluoro-2-butanol;17425-25-1;UPMGUZUMWYWMKI-UHFFFAOYSA-N;C4H6F4O;CC(O)C(F)(F)C(F)F;[M-H]-",145.0282025
"DTXSID30207989;3,3,4,4-Tetrafluoro-1-butanol;5926-87-4;ISIBHDNEXXBQIY-UHFFFAOYSA-N;C4H6F4O;OCCC(F)(F)C(F)F;[M-H]-",145.0282025
