Feature,m/z,Intensity,Isotope,Formula,PredAbundance,File,Zoom
3,395.052212895207,479.849517822266,,,,AFFF3_Target_Neg.mzXML,1
3,395.762307748419,556.484802246094,,,,AFFF3_Target_Neg.mzXML,1
3,396.059533800605,797.775207519531,,,,AFFF3_Target_Neg.mzXML,1
3,396.179259585698,993.465515136719,,,,AFFF3_Target_Neg.mzXML,1
3,396.203745936684,983.032958984375,,,,AFFF3_Target_Neg.mzXML,1
3,396.322445490006,1090.84118652344,,,,AFFF3_Target_Neg.mzXML,1
3,396.401333903015,905.734069824219,,,,AFFF3_Target_Neg.mzXML,1
3,396.477318623856,922.111083984375,,,,AFFF3_Target_Neg.mzXML,1
3,396.591708769646,719.778015136719,,,,AFFF3_Target_Neg.mzXML,1
3,396.914733614632,605.765930175781,,,,AFFF3_Target_Neg.mzXML,1
3,397.10628751963,372.652954101562,,,,AFFF3_Target_Neg.mzXML,1
3,397.212021418254,560.047424316406,,,,AFFF3_Target_Neg.mzXML,1
3,397.310845778851,382.408782958984,,,,AFFF3_Target_Neg.mzXML,1
3,397.834657212455,528.112426757812,,,,AFFF3_Target_Neg.mzXML,1
3,398.794772058789,461.471405029297,,,,AFFF3_Target_Neg.mzXML,1
3,398.938831659564,3706852.5,M,C6HF13O3S,,AFFF3_Target_Neg.mzXML,1
3,399.752897418233,777.07568359375,,,,AFFF3_Target_Neg.mzXML,1
3,399.788138035883,1209.74658203125,,,,AFFF3_Target_Neg.mzXML,1
3,399.831074359447,712.992309570312,,,,AFFF3_Target_Neg.mzXML,1
3,399.940054798586,351729.84375,33S1(0.79%;0.00184Da)_13C1(1.08%;0.00213Da)_15N1(0.37%;0.00419Da),,,AFFF3_Target_Neg.mzXML,1
3,400.544187525321,369.959777832031,,,,AFFF3_Target_Neg.mzXML,1
3,400.619369519709,472.474914550781,,,,AFFF3_Target_Neg.mzXML,1
3,400.703569199211,450.790008544922,,,,AFFF3_Target_Neg.mzXML,1
3,400.757128814055,401.275115966797,,,,AFFF3_Target_Neg.mzXML,1
3,400.867685300954,419.328460693359,,,,AFFF3_Target_Neg.mzXML,1
3,400.934380992158,223811.171875,34S1(4.47%;0.00025Da)_37Cl1(32.00%;0.00150Da)_81Br1(97.28%;0.00240Da),,,AFFF3_Target_Neg.mzXML,1
3,401.562671522035,452.527587890625,,,,AFFF3_Target_Neg.mzXML,1
3,401.937992830184,14857.1748046875,,,,AFFF3_Target_Neg.mzXML,1
3,401.991845776312,796.151000976562,,,,AFFF3_Target_Neg.mzXML,1
3,402.046480077302,2486.173828125,,,,AFFF3_Target_Neg.mzXML,1
3,402.389706861468,410.463134765625,,,,AFFF3_Target_Neg.mzXML,1
3,402.937344836916,2795.8525390625,81Br2(94.63%;0.00261Da)_36S1(0.01%;0.00350Da)_37Cl2(10.24%;0.00441Da),,,AFFF3_Target_Neg.mzXML,1
3,403.043469906223,1463.45373535156,,,,AFFF3_Target_Neg.mzXML,1
100,395.058718362971,174.681457519531,,,,AFFF3_Target_Neg.mzXML,1
100,395.23723596221,108.704544067383,,,,AFFF3_Target_Neg.mzXML,1
100,395.433473690439,211.136108398438,,,,AFFF3_Target_Neg.mzXML,1
100,395.832312012214,169.248901367188,,,,AFFF3_Target_Neg.mzXML,1
100,395.926524646541,197.168029785156,,,,AFFF3_Target_Neg.mzXML,1
100,395.983493107945,348.591888427734,,,,AFFF3_Target_Neg.mzXML,1
100,396.041052501873,523.122985839844,,,,AFFF3_Target_Neg.mzXML,1
100,396.065501642764,351.047088623047,,,,AFFF3_Target_Neg.mzXML,1
100,396.156228674266,237.084747314453,,,,AFFF3_Target_Neg.mzXML,1
100,396.182928867587,312.578765869141,,,,AFFF3_Target_Neg.mzXML,1
100,396.234881659289,253.11376953125,,,,AFFF3_Target_Neg.mzXML,1
100,396.348607993059,154.306823730469,,,,AFFF3_Target_Neg.mzXML,1
100,396.374672067321,193.418304443359,,,,AFFF3_Target_Neg.mzXML,1
100,396.432622656771,179.066177368164,,,,AFFF3_Target_Neg.mzXML,1
100,396.481117454568,291.799987792969,,,,AFFF3_Target_Neg.mzXML,1
100,396.504093804018,145.720245361328,,,,AFFF3_Target_Neg.mzXML,1
100,396.560204167215,178.8203125,,,,AFFF3_Target_Neg.mzXML,1
100,396.709777911984,193.145156860352,,,,AFFF3_Target_Neg.mzXML,1
100,396.741517003758,117.883399963379,,,,AFFF3_Target_Neg.mzXML,1
100,396.903240839861,167.8203125,,,,AFFF3_Target_Neg.mzXML,1
100,396.96249920647,192.232757568359,,,,AFFF3_Target_Neg.mzXML,1
100,397.02580746569,133.065856933594,,,,AFFF3_Target_Neg.mzXML,1
100,397.075345389235,134.1875,,,,AFFF3_Target_Neg.mzXML,1
100,397.243902079018,165.468978881836,,,,AFFF3_Target_Neg.mzXML,1
100,397.37557359461,118.059211730957,,,,AFFF3_Target_Neg.mzXML,1
100,397.410718602733,152.653991699219,,,,AFFF3_Target_Neg.mzXML,1
100,397.738314602803,304.785705566406,,,,AFFF3_Target_Neg.mzXML,1
