"row ID","row m/z","row retention time","row number of detected peaks","AFFF3_Target_Neg.mzXML Peak area","ID_Ranked","Intensity_Ranked","Class_At_Max_Intensity","Adduct_At_Max_Intensity","Only_One_Class","Potential_IDs","Frags","Num_Frags","Files","PredictedFrag_IDs","Frags","Num_Frags","Files"
"222","412.9664276","7.25","1","1.49E+07","1_PFCA-perfluoroalkyl-standards-Multiple_Y;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-","1500","PFCA-perfluoroalkyl-standards-Multiple_Y","[M-H]-","Yes","PFCA-perfluoroalkyl-standards-Multiple_Y;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-","[M-H]-;[C2F5]-;[C3F7]-;[C4F9]-;[C5F11]-;[C6F13]-","5","AFFF3_ddMS2",NA,NA,NA,NA
"106","598.9238","7.25","1","1.49E+07","1_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]- | 1_PFSA-perfluoroalkyl-standards-Multiple_Y;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","1500 | 1500","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","No","PFSA-perfluoroalkyl-standards-Multiple_Y;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-|PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","[M-H]-;[M]-;[SO3]-;[SO3F]-;[SO2F]-;[C3F7]-;[C2F5]-;[COF3]-|[M-H]-;[M]-;[SO3]-","7|2","AFFF3_ddMS2|AFFF3_ddMS2",NA,NA,NA,NA
"104","498.9311926","9.13","1","3.41E+07","4_DTXSID101019146;1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019146;MDEVHGNTMAPDQA-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID201019149;1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid;NOCAS_1019149;SIBWNSUYVDSFHF-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID3031864;Perfluorooctanesulfonic acid;1763-23-1;YFSUTJLHUFNCNZ-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID30895921;Heptadecafluorooctane-2-sulfonic acid;927670-12-0;LYZNUCXUQHMFTA-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID401019145;1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019145;MLMPJIZPFXGYRO-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID501019148;1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019148;QNLVHHDMJVQEDV-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID701019144;IsoPFOS;NOCAS_1019144;NIKYAXWJPSOKTP-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F;[M-H]- | 4_DTXSID801019147;1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019147;CCEVPOURSCMDRL-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]- | 4_PFSA-perfluoroalkyl-standards-Multiple_Y;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","","","","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-|PFSA-perfluoroalkyl-standards-Multiple_Y;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","[M-H]-;[SO3]-|[M-H]-;[SO3]-","1|1","AFFF3_ddMS2|AFFF3_ddMS2",NA,NA,NA,NA
"0","460.9336","4.192767","1","1.49E+07","4_DTXSID10892473;Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid;1135682-88-0;AGFWEBMALSMQMX-UHFFFAOYSA-N;C8HF15O3S;OS(=O)(=O)C1(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F;[M-H]- | 4_DTXSID60867515;1,2,2,3,3,4,5,5,6-nonafluoro-4,6-bis(trifluoromethyl)cyclohexane-1-sulfonic acid;374-58-3;PKYKVJQSXJFMDK-UHFFFAOYSA-N;C8HF15O3S;OS(=O)(=O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C1(F)C(F)(F)F;[M-H]- | 4_DTXSID70275965;Perfluoro-4-(perfluoroethyl)cyclohexylsulfonic acid;646-83-3;ICKAEAFPESRWOT-UHFFFAOYSA-N;C8HF15O3S;OS(=O)(=O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F;[M-H]- | 4_PFSA-cyclic_VariableBranch-standards-Multiple_N;C8HF15O3S;OS(=O)(=O)C1(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F;[M-H]- | 4_PFSA-unsaturated-literature-Multiple_N;C8HF15O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)F;[M-H]- | 4_PFSA-unsaturated-literature-Multiple_N;C8HF15O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)F;[M-H]- | 4_PFSA-unsaturated-literature-Multiple_N;C8HF15O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-unsaturated-literature-Multiple_N;C8HF15O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-unsaturated-literature-Multiple_N;C8HF15O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-unsaturated-literature-Multiple_N;C8HF15O3S;O=S([OH])(=O)C(F)(F)C(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-unsaturated-literature-Multiple_N;C8HF15O3S;O=S([OH])(=O)C(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"102","498.9302193","7.86","1","1.49E+07","4_DTXSID101019146;1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019146;MDEVHGNTMAPDQA-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID201019149;1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid;NOCAS_1019149;SIBWNSUYVDSFHF-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID3031864;Perfluorooctanesulfonic acid;1763-23-1;YFSUTJLHUFNCNZ-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID30895921;Heptadecafluorooctane-2-sulfonic acid;927670-12-0;LYZNUCXUQHMFTA-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID401019145;1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019145;MLMPJIZPFXGYRO-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID501019148;1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019148;QNLVHHDMJVQEDV-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID701019144;IsoPFOS;NOCAS_1019144;NIKYAXWJPSOKTP-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F;[M-H]- | 4_DTXSID801019147;1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019147;CCEVPOURSCMDRL-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]- | 4_PFSA-perfluoroalkyl-standards-Multiple_Y;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"103","498.9302193","8.07","1","1.49E+07","4_DTXSID101019146;1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019146;MDEVHGNTMAPDQA-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID201019149;1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid;NOCAS_1019149;SIBWNSUYVDSFHF-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID3031864;Perfluorooctanesulfonic acid;1763-23-1;YFSUTJLHUFNCNZ-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID30895921;Heptadecafluorooctane-2-sulfonic acid;927670-12-0;LYZNUCXUQHMFTA-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID401019145;1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019145;MLMPJIZPFXGYRO-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID501019148;1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019148;QNLVHHDMJVQEDV-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_DTXSID701019144;IsoPFOS;NOCAS_1019144;NIKYAXWJPSOKTP-UHFFFAOYSA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F;[M-H]- | 4_DTXSID801019147;1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid;NOCAS_1019147;CCEVPOURSCMDRL-UHFFFAOYNA-N;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]- | 4_PFSA-perfluoroalkyl-standards-Multiple_Y;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"105","598.9238","9.66","1","1.49E+07","4_DTXSID3040148;Perfluorodecanesulfonic acid;335-77-3;HYWZIAVPBSTISZ-UHFFFAOYSA-N;C10HF21O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]- | 4_PFSA-perfluoroalkyl-standards-Multiple_Y;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"100","398.9385","6.22","1","1.49E+07","4_DTXSID7040150;Perfluorohexanesulfonic acid;355-46-4;QZHDEAJFRJCDMF-UHFFFAOYSA-N;C6HF13O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]- | 4_PFSA-perfluoroalkyl-standards-Multiple_Y;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"101","398.9385","6.4","1","1.49E+07","4_DTXSID7040150;Perfluorohexanesulfonic acid;355-46-4;QZHDEAJFRJCDMF-UHFFFAOYSA-N;C6HF13O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]- | 4_PFSA-perfluoroalkyl-standards-Multiple_Y;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"3","398.9368134","6.408833333","1","2.00E+07","4_DTXSID7040150;Perfluorohexanesulfonic acid;355-46-4;QZHDEAJFRJCDMF-UHFFFAOYSA-N;C6HF13O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]- | 4_PFSA-perfluoroalkyl-standards-Multiple_Y;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"4","586.039942","8.96455","1","2.41E+07","4_DTXSID90892330;6:2 Fluorotelomer thioether amido sulfonic acid;62880-95-9;DKVATWZCDNHYCW-UHFFFAOYSA-N;C15H18F13NO4S2;CC(C)(CS(O)(=O)=O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]- | 4_FT-thioether-literature-Multiple_N-3;C15H18F13NO4S2;O=S([OH])(=O)CC(C)(C)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"1","209.0856171","5.770166667","1","2.69E+07","5_NoID","","","","",NA,NA,NA,NA,NA,NA,NA,NA
