Feature,RT,Intensity,mz,File,Zoom
100,5.89,524,398.93724,AFFF3_Target_Neg.mzXML,1
100,5.99,7377,398.93713,AFFF3_Target_Neg.mzXML,1
100,6.11,40813,398.93704,AFFF3_Target_Neg.mzXML,1
100,6.27,165617,398.93729,AFFF3_Target_Neg.mzXML,1
100,6.29,179240,398.93692,AFFF3_Target_Neg.mzXML,1
100,6.32,175679,398.93687,AFFF3_Target_Neg.mzXML,1
100,6.37,2761256,398.93714,AFFF3_Target_Neg.mzXML,1
100,6.39,3478201,398.93708,AFFF3_Target_Neg.mzXML,1
100,6.4,3692284,398.93851,AFFF3_Target_Neg.mzXML,1
100,6.41,3706852,398.93883,AFFF3_Target_Neg.mzXML,1
100,6.42,3549350,398.93816,AFFF3_Target_Neg.mzXML,1
100,6.43,3217383,398.93734,AFFF3_Target_Neg.mzXML,1
100,6.44,2638802,398.93742,AFFF3_Target_Neg.mzXML,1
100,6.45,1650744,398.93692,AFFF3_Target_Neg.mzXML,1
100,6.49,192465,398.93696,AFFF3_Target_Neg.mzXML,1
100,6.51,68822,398.93723,AFFF3_Target_Neg.mzXML,1
101,5.99,7377,398.93713,AFFF3_Target_Neg.mzXML,1
101,6.11,40813,398.93704,AFFF3_Target_Neg.mzXML,1
101,6.27,165617,398.93729,AFFF3_Target_Neg.mzXML,1
101,6.29,179240,398.93692,AFFF3_Target_Neg.mzXML,1
101,6.32,175679,398.93687,AFFF3_Target_Neg.mzXML,1
101,6.37,2761256,398.93714,AFFF3_Target_Neg.mzXML,1
101,6.39,3478201,398.93708,AFFF3_Target_Neg.mzXML,1
101,6.4,3692284,398.93851,AFFF3_Target_Neg.mzXML,1
101,6.41,3706852,398.93883,AFFF3_Target_Neg.mzXML,1
101,6.42,3549350,398.93816,AFFF3_Target_Neg.mzXML,1
101,6.43,3217383,398.93734,AFFF3_Target_Neg.mzXML,1
101,6.44,2638802,398.93742,AFFF3_Target_Neg.mzXML,1
101,6.45,1650744,398.93692,AFFF3_Target_Neg.mzXML,1
101,6.49,192465,398.93696,AFFF3_Target_Neg.mzXML,1
101,6.51,68822,398.93723,AFFF3_Target_Neg.mzXML,1
101,6.65,6285,398.93765,AFFF3_Target_Neg.mzXML,1
101,6.69,3392,398.93765,AFFF3_Target_Neg.mzXML,1
101,6.71,2901,398.93716,AFFF3_Target_Neg.mzXML,1
101,6.74,3613,398.93812,AFFF3_Target_Neg.mzXML,1
102,7.46,22838,498.93078,AFFF3_Target_Neg.mzXML,1
102,7.47,66117,498.92941,AFFF3_Target_Neg.mzXML,1
102,7.48,119048,498.931,AFFF3_Target_Neg.mzXML,1
102,7.5,248494,498.93061,AFFF3_Target_Neg.mzXML,1
102,7.51,367401,498.92979,AFFF3_Target_Neg.mzXML,1
102,7.53,434123,498.92963,AFFF3_Target_Neg.mzXML,1
102,7.54,435204,498.92972,AFFF3_Target_Neg.mzXML,1
102,7.56,359891,498.9298,AFFF3_Target_Neg.mzXML,1
102,7.57,329997,498.92946,AFFF3_Target_Neg.mzXML,1
102,7.59,323640,498.92976,AFFF3_Target_Neg.mzXML,1
102,7.6,303463,498.92939,AFFF3_Target_Neg.mzXML,1
102,7.61,260700,498.92961,AFFF3_Target_Neg.mzXML,1
102,7.63,196530,498.92959,AFFF3_Target_Neg.mzXML,1
102,7.64,113282,498.93129,AFFF3_Target_Neg.mzXML,1
102,7.66,83096,498.93008,AFFF3_Target_Neg.mzXML,1
102,7.68,115203,498.93044,AFFF3_Target_Neg.mzXML,1
102,7.69,286224,498.92917,AFFF3_Target_Neg.mzXML,1
102,7.71,639490,498.9301,AFFF3_Target_Neg.mzXML,1
102,7.72,1207475,498.93006,AFFF3_Target_Neg.mzXML,1
102,7.73,1952833,498.93032,AFFF3_Target_Neg.mzXML,1
102,7.74,2783947,498.93131,AFFF3_Target_Neg.mzXML,1
102,7.76,3383370,498.9313,AFFF3_Target_Neg.mzXML,1
102,7.77,3593144,498.93171,AFFF3_Target_Neg.mzXML,1
102,7.79,3707784,498.93168,AFFF3_Target_Neg.mzXML,1
